   4,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_003.png', cX= 297, cY= 610, Frame=   189
   2,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_012.png', cX= 593, cY=1266, Frame=   190
   3,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_004.png', cX= 357, cY=1335, Frame=   190
   4,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_004.png', cX= 330, cY= 611, Frame=   190
   2,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_013.png', cX= 629, cY=1265, Frame=   191
   3,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_005.png', cX= 400, cY=1337, Frame=   191
   4,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_005.png', cX= 366, cY= 610, Frame=   191
   2,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_014.png', cX= 662, cY=1265, Frame=   192
   3,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_006.png', cX= 441, cY=1337, Frame=   192
   4,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_006.png', cX= 396, cY= 610, Frame=   192
   2,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_015.png', cX= 687, cY=1262, Frame=   193
   3,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_007.png', cX= 483, cY=1339, Frame=   193
   4,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_007.png', cX= 435, cY= 610, Frame=   193
   2,   16, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_016.png', cX= 721, cY=1261, Frame=   194
   3,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_008.png', cX= 524, cY=1339, Frame=   194
   4,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_008.png', cX= 470, cY= 611, Frame=   194
   2,   17, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_017.png', cX= 753, cY=1264, Frame=   195
   3,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_009.png', cX= 565, cY=1339, Frame=   195
   4,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_009.png', cX= 506, cY= 609, Frame=   195
   2,   18, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_018.png', cX= 800, cY=1264, Frame=   196
   3,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_010.png', cX= 606, cY=1339, Frame=   196
   4,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_010.png', cX= 539, cY= 609, Frame=   196
   2,   19, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_019.png', cX= 825, cY=1261, Frame=   197
   3,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_011.png', cX= 647, cY=1340, Frame=   197
   4,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_011.png', cX= 573, cY= 609, Frame=   197
   2,   20, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_020.png', cX= 868, cY=1266, Frame=   198
   3,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_012.png', cX= 688, cY=1339, Frame=   198
   4,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_012.png', cX= 605, cY= 608, Frame=   198
   2,   21, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_021.png', cX= 896, cY=1262, Frame=   199
   3,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_013.png', cX= 729, cY=1339, Frame=   199
   4,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_013.png', cX= 643, cY= 607, Frame=   199
   2,   22, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_002\Image_022.png', cX= 930, cY=1261, Frame=   200
   3,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_003\Image_014.png', cX= 770, cY=1339, Frame=   200
   4,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_004\Image_014.png', cX= 680, cY= 607, Frame=   200
   5,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 10\Images_001\Object_005\Image_001.png', cX= 220, cY=1046, Frame=   200
