   1,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_001.png', cX= 237, cY=1081, Frame=   150
   2,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_001.png', cX= 526, cY=1387, Frame=   150
   3,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_001.png', cX=1231, cY=1570, Frame=   150
   1,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_002.png', cX= 281, cY=1083, Frame=   151
   2,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_002.png', cX= 564, cY=1387, Frame=   151
   3,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_002.png', cX=1271, cY=1570, Frame=   151
   1,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_003.png', cX= 326, cY=1083, Frame=   152
   2,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_003.png', cX= 599, cY=1387, Frame=   152
   3,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_003.png', cX=1312, cY=1569, Frame=   152
   1,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_004.png', cX= 370, cY=1084, Frame=   153
   2,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_004.png', cX= 635, cY=1387, Frame=   153
   3,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_004.png', cX=1352, cY=1568, Frame=   153
   1,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_005.png', cX= 414, cY=1084, Frame=   154
   2,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_005.png', cX= 670, cY=1387, Frame=   154
   3,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_005.png', cX=1391, cY=1567, Frame=   154
   1,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_006.png', cX= 457, cY=1084, Frame=   155
   2,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_006.png', cX= 705, cY=1387, Frame=   155
   3,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_006.png', cX=1431, cY=1566, Frame=   155
   1,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_007.png', cX= 501, cY=1085, Frame=   156
   2,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_007.png', cX= 740, cY=1387, Frame=   156
   3,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_007.png', cX=1473, cY=1565, Frame=   156
   1,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_008.png', cX= 544, cY=1085, Frame=   157
   2,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_008.png', cX= 777, cY=1387, Frame=   157
   3,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_008.png', cX=1511, cY=1565, Frame=   157
   1,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_009.png', cX= 586, cY=1084, Frame=   158
   2,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_009.png', cX= 811, cY=1387, Frame=   158
   3,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_009.png', cX=1551, cY=1564, Frame=   158
   1,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_010.png', cX= 628, cY=1084, Frame=   159
   2,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_010.png', cX= 847, cY=1387, Frame=   159
   3,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_010.png', cX=1591, cY=1564, Frame=   159
   1,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_011.png', cX= 672, cY=1085, Frame=   160
   2,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_011.png', cX= 882, cY=1387, Frame=   160
   3,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_011.png', cX=1630, cY=1563, Frame=   160
   1,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_012.png', cX= 713, cY=1085, Frame=   161
   2,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_012.png', cX= 917, cY=1386, Frame=   161
   3,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_012.png', cX=1670, cY=1563, Frame=   161
   1,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_013.png', cX= 756, cY=1085, Frame=   162
   2,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_013.png', cX= 953, cY=1386, Frame=   162
   3,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_013.png', cX=1710, cY=1562, Frame=   162
   1,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_014.png', cX= 800, cY=1085, Frame=   163
   2,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_014.png', cX= 987, cY=1386, Frame=   163
   3,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_003\Image_014.png', cX=1751, cY=1560, Frame=   163
   1,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_001\Image_015.png', cX= 843, cY=1085, Frame=   164
   2,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 11\Images_001\Object_002\Image_015.png', cX=1024, cY=1386, Frame=   164
