   1,   43, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_043.png', cX=3111, cY=1430, Frame=   192
   1,   44, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_044.png', cX=3152, cY=1431, Frame=   193
   1,   45, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_045.png', cX=3194, cY=1432, Frame=   194
   1,   46, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_046.png', cX=3237, cY=1432, Frame=   195
   1,   47, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_047.png', cX=3278, cY=1433, Frame=   196
   1,   48, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_048.png', cX=3320, cY=1434, Frame=   197
   1,   49, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_049.png', cX=3361, cY=1435, Frame=   198
   1,   50, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_050.png', cX=3402, cY=1437, Frame=   199
   1,   51, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_051.png', cX=3442, cY=1439, Frame=   200
   1,   52, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_052.png', cX=3485, cY=1440, Frame=   201
   1,   53, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_053.png', cX=3526, cY=1444, Frame=   202
   1,   54, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_054.png', cX=3567, cY=1447, Frame=   203
   1,   55, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_055.png', cX=3610, cY=1450, Frame=   204
   1,   56, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_056.png', cX=3654, cY=1452, Frame=   205
   1,   57, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_057.png', cX=3698, cY=1454, Frame=   206
   1,   58, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_058.png', cX=3743, cY=1456, Frame=   207
   1,   59, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_059.png', cX=3789, cY=1457, Frame=   208
   1,   60, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_060.png', cX=3834, cY=1459, Frame=   209
   1,   61, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_061.png', cX=3879, cY=1460, Frame=   210
   1,   62, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_062.png', cX=3925, cY=1459, Frame=   211
   1,   63, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_063.png', cX=3969, cY=1460, Frame=   212
   1,   64, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_064.png', cX=4015, cY=1457, Frame=   213
   1,   65, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_001\Image_065.png', cX=4060, cY=1455, Frame=   214
   2,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_001.png', cX= 393, cY=1146, Frame=   215
   2,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_002.png', cX= 422, cY=1146, Frame=   216
   2,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_003.png', cX= 451, cY=1145, Frame=   217
   2,    4, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_004.png', cX= 482, cY=1144, Frame=   218
   2,    5, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_005.png', cX= 512, cY=1144, Frame=   219
   2,    6, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_006.png', cX= 541, cY=1144, Frame=   220
   2,    7, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_007.png', cX= 570, cY=1143, Frame=   221
   3,    1, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_003\Image_001.png', cX= 205, cY= 254, Frame=   221
   2,    8, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_008.png', cX= 600, cY=1141, Frame=   222
   3,    2, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_003\Image_002.png', cX= 252, cY= 257, Frame=   222
   2,    9, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_009.png', cX= 629, cY=1140, Frame=   223
   3,    3, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_003\Image_003.png', cX= 302, cY= 256, Frame=   223
   2,   10, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_010.png', cX= 657, cY=1140, Frame=   224
   3,    4, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_003\Image_004.png', cX= 351, cY= 255, Frame=   224
   2,   11, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_011.png', cX= 686, cY=1141, Frame=   225
   3,    5, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_003\Image_005.png', cX= 400, cY= 254, Frame=   225
   2,   12, '..\VideoTestCases\1-6-25 Ostracod 1st Imaging Image 7\Images_001\Object_002\Image_012.png', cX= 714, cY=1140, Frame=   226
