   3,   22, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_022.png', cX=1599, cY=1314, Frame=   196
   3,   23, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_023.png', cX=1684, cY=1332, Frame=   197
   3,   24, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_024.png', cX=1767, cY=1346, Frame=   198
   3,   25, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_025.png', cX=1849, cY=1355, Frame=   199
   4,    1, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_001.png', cX= 261, cY= 315, Frame=   199
   3,   26, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_026.png', cX=1919, cY=1358, Frame=   200
   4,    2, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_002.png', cX= 323, cY= 315, Frame=   200
   3,   27, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_027.png', cX=1979, cY=1356, Frame=   201
   4,    3, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_003.png', cX= 384, cY= 316, Frame=   201
   3,   28, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_028.png', cX=2028, cY=1350, Frame=   202
   4,    4, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_004.png', cX= 445, cY= 315, Frame=   202
   3,   29, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_029.png', cX=2077, cY=1351, Frame=   203
   4,    5, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_005.png', cX= 506, cY= 316, Frame=   203
   3,   30, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_030.png', cX=2129, cY=1353, Frame=   204
   4,    6, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_006.png', cX= 567, cY= 316, Frame=   204
   3,   31, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_031.png', cX=2184, cY=1353, Frame=   205
   4,    7, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_007.png', cX= 628, cY= 316, Frame=   205
   3,   32, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_032.png', cX=2239, cY=1353, Frame=   206
   4,    8, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_008.png', cX= 690, cY= 317, Frame=   206
   3,   33, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_033.png', cX=2293, cY=1354, Frame=   207
   4,    9, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_009.png', cX= 752, cY= 318, Frame=   207
   3,   34, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_034.png', cX=2347, cY=1355, Frame=   208
   4,   10, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_010.png', cX= 813, cY= 319, Frame=   208
   3,   35, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_035.png', cX=2399, cY=1354, Frame=   209
   4,   11, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_011.png', cX= 873, cY= 321, Frame=   209
   3,   36, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_036.png', cX=2451, cY=1354, Frame=   210
   4,   12, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_012.png', cX= 932, cY= 322, Frame=   210
   3,   37, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_037.png', cX=2492, cY=1350, Frame=   211
   4,   13, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_013.png', cX= 990, cY= 324, Frame=   211
   5,    1, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_001.png', cX= 223, cY=1525, Frame=   211
   6,    1, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_001.png', cX=1730, cY=1013, Frame=   211
   3,   38, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_038.png', cX=2534, cY=1347, Frame=   212
   4,   14, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_014.png', cX=1048, cY= 326, Frame=   212
   5,    2, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_002.png', cX= 290, cY=1526, Frame=   212
   6,    2, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_002.png', cX=1793, cY=1014, Frame=   212
   4,   15, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_015.png', cX=1109, cY= 328, Frame=   213
   5,    3, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_003.png', cX= 357, cY=1526, Frame=   213
   6,    3, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_003.png', cX=1857, cY=1015, Frame=   213
   4,   16, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_016.png', cX=1170, cY= 329, Frame=   214
   5,    4, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_004.png', cX= 425, cY=1527, Frame=   214
   6,    4, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_004.png', cX=1920, cY=1017, Frame=   214
   4,   17, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_017.png', cX=1230, cY= 331, Frame=   215
   5,    5, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_005.png', cX= 494, cY=1528, Frame=   215
   6,    5, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_005.png', cX=1986, cY=1018, Frame=   215
   3,   39, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_039.png', cX=2672, cY=1346, Frame=   216
   4,   18, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_018.png', cX=1290, cY= 332, Frame=   216
   5,    6, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_006.png', cX= 563, cY=1528, Frame=   216
   6,    6, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_006.png', cX=2051, cY=1019, Frame=   216
   3,   40, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_040.png', cX=2713, cY=1346, Frame=   217
   4,   19, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_019.png', cX=1350, cY= 335, Frame=   217
   5,    7, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_007.png', cX= 630, cY=1528, Frame=   217
   6,    7, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_007.png', cX=2116, cY=1021, Frame=   217
   4,   20, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_020.png', cX=1407, cY= 337, Frame=   218
   5,    8, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_008.png', cX= 695, cY=1528, Frame=   218
   6,    8, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_008.png', cX=2179, cY=1022, Frame=   218
   3,   41, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_041.png', cX=2787, cY=1346, Frame=   219
   4,   21, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_021.png', cX=1464, cY= 339, Frame=   219
   5,    9, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_009.png', cX= 761, cY=1528, Frame=   219
   6,    9, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_009.png', cX=2241, cY=1024, Frame=   219
   7,    1, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_007\Image_001.png', cX= 238, cY= 591, Frame=   219
   4,   22, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_022.png', cX=1521, cY= 341, Frame=   220
   5,   10, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_005\Image_010.png', cX= 826, cY=1528, Frame=   220
   6,   10, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_006\Image_010.png', cX=2304, cY=1025, Frame=   220
   7,    2, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_007\Image_002.png', cX= 291, cY= 591, Frame=   220
   3,   42, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_003\Image_042.png', cX=2861, cY=1346, Frame=   221
   4,   23, '..\VideoTestCases\Ostra Apt 2-18-25 Image1a\Images_001\Object_004\Image_023.png', cX=1578, cY= 343, Frame=   221
