   1,   26, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_026.png', cX=2011, cY= 364, Frame=   175
   2,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_014.png', cX= 709, cY= 874, Frame=   175
   3,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_007.png', cX= 449, cY=1107, Frame=   175
   1,   27, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_027.png', cX=2065, cY= 370, Frame=   176
   2,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_015.png', cX= 745, cY= 874, Frame=   176
   3,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_008.png', cX= 490, cY=1106, Frame=   176
   1,   28, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_028.png', cX=2079, cY= 362, Frame=   177
   2,   16, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_016.png', cX= 780, cY= 872, Frame=   177
   3,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_009.png', cX= 532, cY=1108, Frame=   177
   2,   17, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_017.png', cX= 816, cY= 872, Frame=   178
   3,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_010.png', cX= 568, cY=1105, Frame=   178
   2,   18, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_018.png', cX= 851, cY= 871, Frame=   179
   3,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_011.png', cX= 610, cY=1108, Frame=   179
   1,   29, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_029.png', cX=2188, cY= 364, Frame=   180
   2,   19, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_019.png', cX= 888, cY= 870, Frame=   180
   3,   12, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_012.png', cX= 648, cY=1107, Frame=   180
   2,   20, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_020.png', cX= 922, cY= 870, Frame=   181
   3,   13, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_013.png', cX= 686, cY=1105, Frame=   181
   2,   21, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_021.png', cX= 958, cY= 870, Frame=   182
   3,   14, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_014.png', cX= 726, cY=1105, Frame=   182
   2,   22, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_022.png', cX= 993, cY= 870, Frame=   183
   3,   15, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_015.png', cX= 765, cY=1105, Frame=   183
   2,   23, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_023.png', cX=1027, cY= 869, Frame=   184
   3,   16, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_016.png', cX= 805, cY=1106, Frame=   184
   2,   24, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_024.png', cX=1061, cY= 869, Frame=   185
   3,   17, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_017.png', cX= 843, cY=1104, Frame=   185
   2,   25, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_025.png', cX=1096, cY= 868, Frame=   186
   3,   18, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_018.png', cX= 882, cY=1104, Frame=   186
   2,   26, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_026.png', cX=1130, cY= 868, Frame=   187
   3,   19, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_019.png', cX= 920, cY=1103, Frame=   187
   2,   27, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_027.png', cX=1164, cY= 869, Frame=   188
   3,   20, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_020.png', cX= 958, cY=1103, Frame=   188
   1,   30, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_030.png', cX=2494, cY= 359, Frame=   189
   2,   28, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_028.png', cX=1199, cY= 869, Frame=   189
   3,   21, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_021.png', cX= 997, cY=1102, Frame=   189
   3,   22, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_022.png', cX=1035, cY=1102, Frame=   190
   2,   29, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_002\Image_029.png', cX=1271, cY= 867, Frame=   191
   3,   23, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_023.png', cX=1073, cY=1103, Frame=   191
   1,   31, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_031.png', cX=2590, cY= 354, Frame=   192
   3,   24, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_024.png', cX=1112, cY=1101, Frame=   192
   3,   25, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_025.png', cX=1149, cY=1101, Frame=   193
   1,   32, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_032.png', cX=2664, cY= 357, Frame=   194
   3,   26, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_026.png', cX=1187, cY=1101, Frame=   194
   3,   27, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_027.png', cX=1227, cY=1098, Frame=   195
   3,   28, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_028.png', cX=1265, cY=1099, Frame=   196
   3,   29, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_029.png', cX=1304, cY=1098, Frame=   197
   3,   30, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_030.png', cX=1343, cY=1096, Frame=   198
   1,   33, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_033.png', cX=2832, cY= 356, Frame=   199
   3,   31, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_031.png', cX=1382, cY=1097, Frame=   199
   3,   32, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_032.png', cX=1420, cY=1096, Frame=   200
   3,   33, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_033.png', cX=1569, cY=1094, Frame=   204
   3,   34, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_034.png', cX=1643, cY=1093, Frame=   206
   3,   35, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_035.png', cX=1680, cY=1092, Frame=   207
   4,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_001.png', cX= 216, cY= 914, Frame=   207
   1,   34, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_034.png', cX=3129, cY= 353, Frame=   208
   4,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_002.png', cX= 257, cY= 911, Frame=   208
   1,   35, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_001\Image_035.png', cX=3176, cY= 365, Frame=   209
   3,   36, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_036.png', cX=1755, cY=1091, Frame=   209
   4,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_003.png', cX= 295, cY= 911, Frame=   209
   3,   37, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_037.png', cX=1794, cY=1092, Frame=   210
   4,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_004.png', cX= 335, cY= 912, Frame=   210
   3,   38, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_038.png', cX=1832, cY=1091, Frame=   211
   4,    5, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_005.png', cX= 373, cY= 913, Frame=   211
   4,    6, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_006.png', cX= 412, cY= 912, Frame=   212
   3,   39, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_039.png', cX=1908, cY=1089, Frame=   213
   4,    7, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_007.png', cX= 452, cY= 910, Frame=   213
   4,    8, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_008.png', cX= 492, cY= 910, Frame=   214
   4,    9, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_009.png', cX= 531, cY= 910, Frame=   215
   3,   40, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_003\Image_040.png', cX=2022, cY=1088, Frame=   216
   4,   10, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_010.png', cX= 571, cY= 908, Frame=   216
   4,   11, '..\VideoTestCases\1-3-25 Ostracod Runs Image 15\Images_001\Object_004\Image_011.png', cX= 610, cY= 906, Frame=   217
