   2,   19, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_019.png', cX= 838, cY= 602, Frame=   175
   1,   27, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_001\Image_027.png', cX=1207, cY= 624, Frame=   176
   2,   20, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_020.png', cX= 874, cY= 601, Frame=   176
   1,   28, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_001\Image_028.png', cX=1243, cY= 624, Frame=   177
   3,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_001.png', cX= 214, cY=1268, Frame=   177
   4,    1, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_001.png', cX= 223, cY= 477, Frame=   177
   2,   21, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_021.png', cX= 945, cY= 601, Frame=   178
   3,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_002.png', cX= 249, cY=1269, Frame=   178
   4,    2, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_002.png', cX= 263, cY= 476, Frame=   178
   2,   22, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_022.png', cX= 978, cY= 603, Frame=   179
   3,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_003.png', cX= 287, cY=1270, Frame=   179
   4,    3, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_003.png', cX= 304, cY= 475, Frame=   179
   2,   23, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_023.png', cX=1017, cY= 600, Frame=   180
   3,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_003\Image_004.png', cX= 327, cY=1271, Frame=   180
   4,    4, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_004\Image_004.png', cX= 347, cY= 470, Frame=   180
   2,   24, '..\VideoTestCases\1-3-25 Ostracod Runs Image 14\Images_001\Object_002\Image_024.png', cX=1055, cY= 600, Frame=   181
