   2,   12, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_012.png', cX= 782, cY=1765, Frame=   281
   2,   13, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_013.png', cX= 826, cY=1764, Frame=   282
   1,   35, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_035.png', cX=2200, cY=1724, Frame=   283
   2,   14, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_014.png', cX= 871, cY=1763, Frame=   283
   1,   36, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_036.png', cX=2241, cY=1723, Frame=   284
   2,   15, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_015.png', cX= 914, cY=1763, Frame=   284
   1,   37, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_037.png', cX=2290, cY=1725, Frame=   285
   2,   16, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_016.png', cX= 960, cY=1762, Frame=   285
   1,   38, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_038.png', cX=2337, cY=1723, Frame=   286
   2,   17, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_017.png', cX=1005, cY=1762, Frame=   286
   1,   39, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_039.png', cX=2381, cY=1712, Frame=   287
   2,   18, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_018.png', cX=1050, cY=1762, Frame=   287
   1,   40, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_040.png', cX=2423, cY=1707, Frame=   288
   2,   19, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_019.png', cX=1095, cY=1761, Frame=   288
   1,   41, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_041.png', cX=2468, cY=1710, Frame=   289
   2,   20, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_020.png', cX=1140, cY=1759, Frame=   289
   1,   42, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_042.png', cX=2514, cY=1706, Frame=   290
   2,   21, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_021.png', cX=1185, cY=1760, Frame=   290
   2,   22, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_022.png', cX=1229, cY=1759, Frame=   291
   2,   23, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_023.png', cX=1273, cY=1758, Frame=   292
   1,   43, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_043.png', cX=2628, cY=1697, Frame=   293
   2,   24, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_024.png', cX=1318, cY=1756, Frame=   293
   1,   44, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_044.png', cX=2676, cY=1702, Frame=   294
   2,   25, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_025.png', cX=1362, cY=1755, Frame=   294
   1,   45, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_045.png', cX=2723, cY=1704, Frame=   295
   2,   26, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_026.png', cX=1406, cY=1755, Frame=   295
   1,   46, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_046.png', cX=2761, cY=1697, Frame=   296
   2,   27, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_027.png', cX=1449, cY=1754, Frame=   296
   1,   47, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_047.png', cX=2802, cY=1695, Frame=   297
   2,   28, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_028.png', cX=1489, cY=1751, Frame=   297
   1,   48, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_001\Image_048.png', cX=2843, cY=1694, Frame=   298
   2,   29, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_029.png', cX=1530, cY=1746, Frame=   298
   2,   30, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_030.png', cX=1572, cY=1749, Frame=   299
   2,   31, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_031.png', cX=1614, cY=1748, Frame=   300
   2,   32, '..\VideoTestCases\Ostra Tank 3-19-25 Image5\Images_001\Object_002\Image_032.png', cX=1657, cY=1746, Frame=   301
