   3,   18, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_018.png', cX= 972, cY=1762, Frame=   227
   1,   26, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_026.png', cX=1738, cY= 418, Frame=   228
   3,   19, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_019.png', cX=1014, cY=1760, Frame=   228
   1,   27, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_027.png', cX=1802, cY= 419, Frame=   229
   3,   20, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_020.png', cX=1055, cY=1761, Frame=   229
   1,   28, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_028.png', cX=1866, cY= 418, Frame=   230
   3,   21, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_021.png', cX=1096, cY=1760, Frame=   230
   1,   29, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_029.png', cX=1931, cY= 419, Frame=   231
   3,   22, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_022.png', cX=1137, cY=1761, Frame=   231
   1,   30, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_030.png', cX=1994, cY= 418, Frame=   232
   3,   23, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_023.png', cX=1178, cY=1760, Frame=   232
   1,   31, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_031.png', cX=2058, cY= 418, Frame=   233
   3,   24, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_024.png', cX=1218, cY=1759, Frame=   233
   1,   32, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_032.png', cX=2121, cY= 418, Frame=   234
   3,   25, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_025.png', cX=1258, cY=1758, Frame=   234
   1,   33, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_033.png', cX=2185, cY= 417, Frame=   235
   3,   26, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_026.png', cX=1299, cY=1757, Frame=   235
   1,   34, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_034.png', cX=2249, cY= 417, Frame=   236
   3,   27, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_027.png', cX=1338, cY=1756, Frame=   236
   1,   35, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_035.png', cX=2313, cY= 417, Frame=   237
   3,   28, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_028.png', cX=1377, cY=1756, Frame=   237
   1,   36, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_036.png', cX=2375, cY= 417, Frame=   238
   3,   29, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_029.png', cX=1416, cY=1756, Frame=   238
   1,   37, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_037.png', cX=2439, cY= 416, Frame=   239
   3,   30, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_030.png', cX=1454, cY=1755, Frame=   239
   1,   38, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_038.png', cX=2502, cY= 416, Frame=   240
   3,   31, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_031.png', cX=1494, cY=1754, Frame=   240
   1,   39, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_039.png', cX=2565, cY= 415, Frame=   241
   3,   32, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_032.png', cX=1532, cY=1753, Frame=   241
   1,   40, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_040.png', cX=2627, cY= 415, Frame=   242
   3,   33, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_033.png', cX=1570, cY=1754, Frame=   242
   1,   41, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_041.png', cX=2689, cY= 414, Frame=   243
   1,   42, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_042.png', cX=2751, cY= 414, Frame=   244
   3,   34, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_034.png', cX=1646, cY=1753, Frame=   244
   1,   43, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_043.png', cX=2814, cY= 412, Frame=   245
   3,   35, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_035.png', cX=1686, cY=1752, Frame=   245
   1,   44, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_044.png', cX=2876, cY= 411, Frame=   246
   3,   36, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_036.png', cX=1724, cY=1751, Frame=   246
   1,   45, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_045.png', cX=2939, cY= 410, Frame=   247
   3,   37, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_037.png', cX=1762, cY=1751, Frame=   247
   1,   46, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_046.png', cX=3001, cY= 410, Frame=   248
   3,   38, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_003\Image_038.png', cX=1801, cY=1751, Frame=   248
   1,   47, '..\VideoTestCases\12-27-24 Ostracod Run 1 Image 1\Images_001\Object_001\Image_047.png', cX=3063, cY= 408, Frame=   249
